,"␢␢ㄚˉ","a","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄛˉ","o","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄜˉ","e","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄝˉ","e","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄞˉ","ai","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄟˉ","ei","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄠˉ","ao","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄡˉ","ou","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄢˉ","an","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄣˉ","en","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄤˉ","ang","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄥˉ","eng","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"␢␢ㄦˉ","er","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"ㄅ␢␢ˉ","b","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"ㄅ␢ㄚˉ","ba","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"ㄅ␢ㄛˉ","bo","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"ㄅ␢ㄜˉ","be","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
,"ㄅ␢ㄝˉ","be","2024-02-11 10:15:00","ai@indexbox.com","1","注音","拼音","zhuyin","pinyin","對照表"
